formula,A1,A2,B1,B2,X,is_alloy,x_frac,Eg,dHf,dHd,A1_NdValence,A1_NValence,A1_Electronegativity,A1_AtomicRadius,A1_GSbandgap,A1_GSmagmom,A1_MeltingT,A2_NdValence,A2_NValence,A2_Electronegativity,A2_AtomicRadius,A2_GSbandgap,A2_GSmagmom,A2_MeltingT,B1_NdValence,B1_NValence,B1_Electronegativity,B1_AtomicRadius,B1_GSbandgap,B1_GSmagmom,B1_MeltingT,B2_NdValence,B2_NValence,B2_Electronegativity,B2_AtomicRadius,B2_GSbandgap,B2_GSmagmom,B2_MeltingT,X_NdValence,X_NValence,X_Electronegativity,X_AtomicRadius,X_GSbandgap,X_GSmagmom,X_MeltingT
Cs4Ca3PdI12,Cs,,Ca,Pd,I,True,0.25,0.5094999999999998,-1.4608265,0.051738661956988174,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,10.0,10.0,2.2,1.4,0.0,0.0,1828.05,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Cs2CaPdI6,Cs,,Ca,Pd,I,True,0.5,0.0855999999999999,-1.23002225,0.07743725445698679,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,10.0,10.0,2.2,1.4,0.0,0.0,1828.05,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Cs4CaPd3I12,Cs,,Ca,Pd,I,True,0.75,0.0,-1.0238999999999998,0.07242363558198761,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,10.0,10.0,2.2,1.4,0.0,0.0,1828.05,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb4Pd3SnI12,Rb,,Pd,Sn,I,True,0.25,0.0,-0.8462947500000002,0.058593126674550966,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,10.0,10.0,2.2,1.4,0.0,0.0,1828.05,10.0,14.0,1.96,1.45,0.0,0.0,505.08,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb2PdSnI6,Rb,,Pd,Sn,I,True,0.5,0.0,-0.8948415000000001,0.05784117964211122,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,10.0,10.0,2.2,1.4,0.0,0.0,1828.05,10.0,14.0,1.96,1.45,0.0,0.0,505.08,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb4PdSn3I12,Rb,,Pd,Sn,I,True,0.75,0.0,-0.9462307500000001,0.05194598873467182,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,10.0,10.0,2.2,1.4,0.0,0.0,1828.05,10.0,14.0,1.96,1.45,0.0,0.0,505.08,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb2Cs2Cu3PbF12,Rb,Cs,Cu,Pb,F,True,0.25,0.0,-2.3686437500000004,0.03161965423933122,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,28.0,2.33,1.8,0.0,0.0,600.61,0.0,7.0,3.98,0.5,1.97,0.0,53.5
RbCsCuPbF6,Rb,Cs,Cu,Pb,F,True,0.5,0.0,-2.4765259999999993,0.035748500000000405,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,28.0,2.33,1.8,0.0,0.0,600.61,0.0,7.0,3.98,0.5,1.97,0.0,53.5
Rb2Cs2CuPb3F12,Rb,Cs,Cu,Pb,F,True,0.75,0.0,-2.577081749999999,0.04624812086966834,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,28.0,2.33,1.8,0.0,0.0,600.61,0.0,7.0,3.98,0.5,1.97,0.0,53.5
K2Rb2Co3CuI12,K,Rb,Co,Cu,I,True,0.25,0.0,-0.6148747499999999,0.16698702140143595,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.82,2.35,0.0,0.0,312.46,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,17.0,2.66,1.4,1.062,0.0,386.85
KRbCoCuI6,K,Rb,Co,Cu,I,True,0.5,0.0,-0.6607504999999996,0.13376588851254612,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.82,2.35,0.0,0.0,312.46,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,17.0,2.66,1.4,1.062,0.0,386.85
K2Rb2CoCu3I12,K,Rb,Co,Cu,I,True,0.75,0.053300000000000125,-0.7014709999999997,0.10110572783199157,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.82,2.35,0.0,0.0,312.46,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,11.0,1.9,1.35,0.0,0.0,1357.77,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb2Cs2Co3BaCl12,Rb,Cs,Co,Ba,Cl,True,0.25,0.3345,-1.5660287500000003,0.12333663112147075,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,0.0,2.0,0.89,2.15,0.0,0.0,1000.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
RbCsCoBaCl6,Rb,Cs,Co,Ba,Cl,True,0.5,0.22809999999999997,-1.8722605,0.11559964162147063,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,0.0,2.0,0.89,2.15,0.0,0.0,1000.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
Rb2Cs2CoBa3Cl12,Rb,Cs,Co,Ba,Cl,True,0.75,0.4623,-2.1845109999999996,0.08386269212147246,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,0.0,2.0,0.89,2.15,0.0,0.0,1000.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
K2Rb2Cr3MnF12,K,Rb,Cr,Mn,F,True,0.25,0.09509999999999996,-2.72232225,0.09560541116831534,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.82,2.35,0.0,0.0,312.46,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,0.0,7.0,3.98,0.5,1.97,0.0,53.5
KRbCrMnF6,K,Rb,Cr,Mn,F,True,0.5,0.0,-2.7401790000000004,0.08001892902463581,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.82,2.35,0.0,0.0,312.46,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,0.0,7.0,3.98,0.5,1.97,0.0,53.5
K2Rb2CrMn3F12,K,Rb,Cr,Mn,F,True,0.75,0.47029999999999994,-2.75770525,0.05768704903613031,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.82,2.35,0.0,0.0,312.46,5.0,6.0,1.66,1.4,0.0,0.0,2180.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,0.0,7.0,3.98,0.5,1.97,0.0,53.5
Rb2Cs2NiPb3I12,Rb,Cs,Ni,Pb,I,True,0.75,0.21789999999999998,-0.97564375,0.06650269364448969,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,8.0,10.0,1.91,1.35,0.0,0.5953947,1728.0,10.0,28.0,2.33,1.8,0.0,0.0,600.61,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Cs4V3SrF12,Cs,,V,Sr,F,True,0.25,0.47060000000000013,-3.0100615,0.09285189297866658,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,3.0,5.0,1.63,1.35,0.0,0.0,2183.0,0.0,2.0,0.95,2.0,0.0,0.0,1050.0,0.0,7.0,3.98,0.5,1.97,0.0,53.5
Cs2VSrF6,Cs,,V,Sr,F,True,0.5,0.3578999999999999,-3.2080100000000003,0.08482387914532818,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,3.0,5.0,1.63,1.35,0.0,0.0,2183.0,0.0,2.0,0.95,2.0,0.0,0.0,1050.0,0.0,7.0,3.98,0.5,1.97,0.0,53.5
