formula,A1,A2,B,X,Eg,direct,dHf,dHd
NaRbCu2F6,Na,Rb,Cu,F,0.0,False,-2.2541382499999996,0.030149875000000215
KNiBr3,K,,Ni,Br,0.0,False,-1.0150870000000005,0.10918584944950327
CsBaF3,Cs,,Ba,F,5.5883,True,-3.5587325,0.05510990547866257
RbCsBa2Br6,Rb,,Ba,F,4.1155,False,-2.2024637500000006,0.050287937449502884
KCsCa2Br6,K,Cs,Ca,Br,4.417199999999999,True,-2.149437,0.011378295724750132
RbCsCu2Cl6,Rb,Cs,Cu,Cl,0.0,False,-1.332656,-0.002862349628526939
NaKCu2F6,Na,K,Cu,F,0.0,False,-2.2722635,0.020859499999999365
RbNiCl3,Rb,,Ni,Cl,0.0,False,-1.288778,0.07097981337147363
RbCsMg2Br6,Rb,Cs,Mg,Br,2.5286,True,-1.7858930000000002,0.03453930540783556
NaCsCo2Cl6,Na,Cs,Co,Cl,0.16809999999999992,False,-1.198655,0.15797528370663905
NaCsCu2Cl6,Na,Cs,Cu,Cl,0.010600000000000054,False,-1.2820884999999997,0.015019574123302348
RbCsSr2F6,Rb,Cs,Sr,F,5.986800000000001,False,-3.6273955,0.03427874847865997
RbCuCl3,Rb,,Cu,Cl,0.0,False,-1.31858825,0.0003185760381358982
KCsCu2Cl6,K,Cs,Cu,Cl,0.0,False,-1.3220737500000002,-0.0010016509618617775
RbPbCl3,Rb,,Pb,Cl,2.8165,True,-1.7011947499999998,0.009376165371475231
KRbPb2Cl6,K,Rb,Pb,Cl,2.8398,True,-1.6970974999999995,0.01343311702772354
RbNiI3,Rb,,Ni,I,,,,
RbCsPb2I6,Rb,Cs,Pb,I,1.8622999999999998,True,-1.084437,0.0405272155194889
KCsMn2F6,K,Cs,Mn,F,1.7276000000000002,False,-2.7708885000000008,0.012059471903947738
KCsCd2F6,K,Cs,Cd,F,3.196,False,-2.6318202499999996,0.019812919478660707
NaKNi2F6,Na,K,Ni,F,0.5396000000000001,True,-2.3229754999999996,0.038379060397164544
RbCuF3,Rb,,Cu,F,0.0,False,-2.2933654999999993,-0.07533466502133646
KRbCo2I6,K,Rb,Co,I,0.0,False,-0.5690665000000003,0.20014065429032435
KRbNi2I6,K,Rb,Ni,I,,,,
CsCuF3,Cs,,Cu,F,0.02520000000000011,True,-2.2551917500000003,-0.026191006188001964
RbSrF3,Rb,,Sr,F,5.6981,False,-3.60725675,0.05928850547866027
RbCuI3,Rb,,Cu,I,0.0,False,-0.7154665999999998,0.09545352179032429
KCsNi2Br6,K,Cs,Ni,Br,0.23809999999999998,False,-1.0384387499999999,0.093074841949504
RbPbI3,Rb,,Pb,I,1.9645000000000001,True,-1.0717012499999998,0.037035450956991234
KRbMn2Br6,K,Rb,Mn,Br,1.141,True,-1.34302275,0.043501515208124175
RbCsMg2I6,Rb,Cs,Mg,I,1.5493,True,-1.3015995,0.05461683779032578
KCsCa2F6,K,Cs,Ca,F,6.513,False,-3.67759825,0.017665127239331113
KCsSn2I6,K,Cs,Sn,I,0.9655,True,-1.0127657499999998,0.037877020327231836
KCsCo2F6,K,Cs,Co,F,0.16849999999999987,False,-2.3369290000000014,0.04636308620782792
CsCuI3,Cs,,Cu,I,0.1046999999999998,True,-0.7549536750000001,0.08273878412365754
KRbCr2Cl6,K,Rb,Cr,Cl,0.0,False,-1.5849815,0.03925577403813829
NaNiF3,Na,,Ni,F,0.8309,True,-2.34252625,0.002137289648997509
CsNiBr3,Cs,,Ni,Br,0.25259999999999994,False,-1.0534387499999998,0.08531558444950349
KRbFe2Br6,K,,Rb,F,0.0,False,-1.0765035000000005,0.1228391284495034
KCsFe2Br6,K,,Cs,F,0.0,False,-1.0977270000000003,0.10883729544950338
KCsSn2Cl6,K,Cs,Sn,Cl,1.9463000000000001,True,-1.6413387499999998,0.018787139741711645
KRbMn2I6,K,Rb,Mn,I,1.1548999999999998,False,-0.9099442500000002,0.06934951421561308
RbCsSn2I6,Rb,Cs,Sn,I,0.9687999999999999,True,-1.0322879999999999,0.02170067682723209
CsSnF3,Cs,,Sn,F,3.6837,True,-2.7307025000000005,-0.02114113247054039
RbCsNi2Br6,Rb,Cs,Ni,Br,0.0,False,-1.031853,0.09967966744950418
